# SYNTHETIC FIXTURE DATA - invented for pipeline testing. Not real filings, people, securities or prices.
ticker,date,open,high,low,close,adj_close,volume
SPY,2019-01-02,226.5862,227.6535,226.2305,226.942,226.942,4536983
SPY,2019-01-03,221.0661,222.2359,220.6761,221.456,221.456,4090253
SPY,2019-01-04,223.321,223.6334,223.2168,223.4251,223.4251,4039986
SPY,2019-01-07,223.539,225.1622,222.9979,224.0801,224.0801,4052630
SPY,2019-01-08,221.3226,222.1473,221.0476,221.5975,221.5975,8067537
SPY,2019-01-09,224.1362,224.4294,224.0385,224.234,224.234,5541105
SPY,2019-01-10,228.0031,229.5096,227.501,228.5053,228.5053,1177225
SPY,2019-01-11,229.1202,229.5231,228.9859,229.2545,229.2545,8834108
SPY,2019-01-14,230.7668,231.5543,230.5043,231.0293,231.0293,1700182
SPY,2019-01-15,229.3269,229.5791,229.2428,229.411,229.411,3788767
SPY,2019-01-16,229.7239,230.9524,229.3143,230.1334,230.1334,4490760
SPY,2019-01-17,230.501,232.4545,229.8498,231.1522,231.1522,3191141
SPY,2019-01-18,229.2376,229.7854,229.055,229.4202,229.4202,3609694
SPY,2019-01-21,231.9882,232.538,231.8049,232.1715,232.1715,6668931
SPY,2019-01-22,231.0881,231.5696,230.9276,231.2486,231.2486,5437290
SPY,2019-01-23,227.6307,227.6845,227.6128,227.6486,227.6486,3910085
SPY,2019-01-24,227.8399,229.4491,227.3035,228.3763,228.3763,8224061
SPY,2019-01-25,230.1958,230.3797,230.1346,230.2571,230.2571,1946577
SPY,2019-01-28,234.2865,236.6324,233.5045,235.0685,235.0685,3198416
SPY,2019-01-29,232.9538,234.9026,232.3042,233.6034,233.6034,4949259
SPY,2019-01-30,232.308,233.471,231.9203,232.6957,232.6957,3998117
SPY,2019-01-31,230.5782,231.8764,230.1454,231.0109,231.0109,5168777
SPY,2019-02-01,226.3421,228.442,225.6421,227.042,227.042,743938
SPY,2019-02-04,223.908,225.8919,223.2467,224.5693,224.5693,3608283
SPY,2019-02-05,228.6615,230.4483,228.0659,229.2571,229.2571,5538985
SPY,2019-02-06,226.9239,227.0217,226.8913,226.9565,226.9565,487246
SPY,2019-02-07,225.7479,227.7926,225.0663,226.4295,226.4295,8988761
SPY,2019-02-08,231.6823,232.8302,231.2996,232.0649,232.0649,2231782
SPY,2019-02-11,230.5255,232.1635,229.9796,231.0715,231.0715,4401120
SPY,2019-02-12,231.1796,231.8005,230.9726,231.3866,231.3866,4999381
SPY,2019-02-13,231.6895,231.8007,231.6524,231.7266,231.7266,8137602
SPY,2019-02-14,232.6887,234.5163,232.0795,233.2979,233.2979,7521056
SPY,2019-02-15,234.2568,236.8903,233.3789,235.1346,235.1346,4483693
SPY,2019-02-18,232.8639,233.966,232.4966,233.2313,233.2313,4070779
SPY,2019-02-19,228.4217,229.3634,228.1078,228.7356,228.7356,7771193
SPY,2019-02-20,233.4326,234.7902,232.9801,233.8852,233.8852,4587901
SPY,2019-02-21,232.0949,232.7786,231.8671,232.3228,232.3228,4701130
SPY,2019-02-22,233.6083,236.0344,232.7996,234.417,234.417,6674281
SPY,2019-02-25,236.0152,237.1554,235.6352,236.3953,236.3953,5280294
SPY,2019-02-26,232.9526,233.3755,232.8116,233.0935,233.0935,4430821
SPY,2019-02-27,235.3107,237.4624,234.5935,236.0279,236.0279,1235011
SPY,2019-02-28,239.9497,240.6976,239.7004,240.199,240.199,3811650
SPY,2019-03-01,239.8896,239.9529,239.8685,239.9107,239.9107,8915104
SPY,2019-03-04,243.6242,244.8274,243.2232,244.0253,244.0253,1205624
SPY,2019-03-05,239.8559,240.0394,239.7947,239.917,239.917,1209477
SPY,2019-03-06,239.1391,240.9419,238.5382,239.7401,239.7401,4179028
SPY,2019-03-07,237.0348,237.6341,236.835,237.2346,237.2346,7834938
SPY,2019-03-08,236.2301,236.4886,236.144,236.3163,236.3163,5408942
SPY,2019-03-11,237.3025,239.3215,236.6295,237.9755,237.9755,5282505
SPY,2019-03-12,230.8873,234.3509,229.7328,232.0419,232.0419,5165958
SPY,2019-03-13,232.0289,233.5676,231.516,232.5418,232.5418,8028814
SPY,2019-03-14,237.2622,237.8551,237.0646,237.4599,237.4599,6116109
SPY,2019-03-15,236.3668,236.4883,236.3263,236.4073,236.4073,6902365
SPY,2019-03-18,233.5226,234.8167,233.0913,233.954,233.954,1981410
SPY,2019-03-19,236.9276,238.6833,236.3423,237.5128,237.5128,1933766
SPY,2019-03-20,236.2695,236.6187,236.1531,236.3859,236.3859,2152619
SPY,2019-03-21,237.2111,238.4548,236.7965,237.6257,237.6257,5730334
SPY,2019-03-22,242.5303,242.8216,242.4331,242.6274,242.6274,3485984
SPY,2019-03-25,241.3238,243.1049,240.73,241.9175,241.9175,1589150
SPY,2019-03-26,241.8681,243.3498,241.3742,242.362,242.362,325740
SPY,2019-03-27,241.4381,243.3077,240.815,242.0613,242.0613,2152379
SPY,2019-03-28,242.06,243.4663,241.5913,242.5288,242.5288,6974375
SPY,2019-03-29,245.3128,245.4972,245.2513,245.3742,245.3742,5872727
SPY,2019-04-01,245.037,245.2946,244.9511,245.1229,245.1229,7623138
SPY,2019-04-02,246.4124,249.0804,245.5231,247.3017,247.3017,6218987
SPY,2019-04-03,246.4469,246.9803,246.2691,246.6247,246.6247,418046
